asset,ticker,start,end,years,total_return,cagr,ann_vol,sharpe,sortino,calmar,profit_factor,win_rate,avg_winner,avg_loser,largest_winner,largest_loser,max_dd,longest_underwater_yrs,exposure,n_trades,avg_weeks_held,negative_years,total_years_counted
SPY,SPY,1994-02-25,2026-07-17,32.5,29.457396563858232,0.11077242131751541,0.13919736343463698,0.8254181228013192,0.9482098638416488,0.34844536815952754,214.34563848001335,0.9,0.5608041051919382,-0.02354718753560303,2.158362432904958,-0.02354718753560303,-0.3179047031177664,3.7884615384615383,0.7906564163217031,10,133.7,6,33
QQQ,QQQ,2000-04-07,2026-07-17,26.4,10.156335356050947,0.0957260413534371,0.18804936939100514,0.5826959457246251,0.6108150692884133,0.27227342150255923,8.069834547479326,0.6666666666666666,0.6929330410478661,-0.17173413828275055,1.2703394455529913,-0.39870219279613717,-0.3515805576070058,10.788461538461538,0.7565597667638484,9,115.33333333333333,6,27
DIA,DIA,1999-02-19,2026-07-17,27.5,4.377898052356342,0.06303891652638427,0.1380539614403231,0.5124642533676484,0.5696485856563812,0.14163156924998513,5.849321343502707,0.6666666666666666,0.2445793780681096,-0.08362658288205786,0.4409948456286106,-0.17694299895051757,-0.4450908569340086,10.942307692307692,0.7756813417190775,15,74.0,8,28
IWM,IWM,2001-06-22,2026-07-17,25.2,2.8472141165601643,0.05498170381984724,0.17594165339102863,0.3931741403373378,0.44582655096421486,0.11782673197993361,4.606173168785477,0.7272727272727273,0.28306812653228935,-0.16387754210692676,0.7930054744925361,-0.19376378550835838,-0.46663183214833504,5.865384615384615,0.7158135981665393,11,85.18181818181819,8,26
NAS100,^NDX,1986-10-31,2026-07-17,39.9,100.37543297064195,0.1228394332573235,0.1962010622887221,0.6906543432284409,0.7840104331583421,0.29814035538682854,21.615059324512885,0.75,0.8436937853955624,-0.11709805271347445,5.961869196306951,-0.23173701337655572,-0.41201880603497254,12.01923076923077,0.7819585142305837,16,101.3125,10,41
SP500,^GSPC,1929-01-25,2026-07-17,97.8,307.25869194491673,0.060344603714945544,0.13407916920878593,0.5044711703280115,0.5354341290395929,0.12793717794481319,8.181118679855974,0.6944444444444444,0.36226569940172093,-0.10063796495596194,2.02898771739371,-0.26661453147636016,-0.4716737127105908,6.923076923076923,0.6871804954777821,36,97.08333333333333,32,98
GOLD,GC=F,2001-09-28,2026-07-17,24.9,8.358350338306455,0.0939512381113865,0.15165916384433054,0.668481106491259,0.8410458110593452,0.30224782824454816,12.67318346026984,0.5,0.6747945808485761,-0.05324586225426649,1.065382485946535,-0.09081462426613074,-0.3108417309631444,8.903846153846153,0.7474903474903475,10,96.8,10,26
SILVER,SI=F,2001-09-28,2026-07-17,24.9,7.2448891821277694,0.08840089100117221,0.2803321538537506,0.44542540359695354,0.4466056893616473,0.14566802678611787,6.452010433114613,0.6666666666666666,0.5253608900898978,-0.1628518414643318,1.6415471579230356,-0.26865671641791045,-0.6068654388445165,14.615384615384615,0.5984555984555985,12,64.58333333333333,7,26
OIL,CL=F,2001-09-21,2026-07-17,24.9,0.14251987952786527,0.005360213478755815,0.25435987650601827,0.1490146012831903,0.16391495299883593,0.006750577345962197,1.592762688996736,0.4117647058823529,0.31837371474991677,-0.13992140942560619,0.9230294287104388,-0.3113092859140516,-0.7940377843329184,18.057692307692307,0.566358024691358,17,43.1764705882353,9,26
EURUSD,EURUSD=X,2004-12-31,2026-07-17,21.6,-0.21296264550083144,-0.01102773530447998,0.060855417814768664,-0.1516050732757047,-0.14602351041847164,-0.035936894097028604,0.17501262430701753,0.5,0.008101171266163831,-0.04628906799290248,0.01980765205266799,-0.09563021916788494,-0.30686389521324253,18.01923076923077,0.5298308103294747,12,49.583333333333336,9,23
GBPUSD,GBPUSD=X,2004-12-31,2026-07-17,21.6,-0.20434712237969865,-0.010510418230921359,0.058563193583825446,-0.15111247560602295,-0.15969479703612152,-0.03542017196448531,0.3463661077253714,0.2857142857142857,0.028559294321146844,-0.032981626878795064,0.058346227452064525,-0.10556847602721331,-0.29673538122456955,21.403846153846153,0.5182222222222223,14,41.642857142857146,12,23
USDJPY,JPY=X,1997-11-28,2026-07-10,28.7,0.5193941355296572,0.014686022061310977,0.0769741276238918,0.22837314897348904,0.20216948084565742,0.06559821689072629,2.5615572969941063,0.4666666666666667,0.1210099856946889,-0.041335689663121525,0.39093946492753173,-0.07697875984902691,-0.22387837287978418,12.576923076923077,0.5113941018766756,15,50.86666666666667,10,30
TECH,XLK,2000-01-21,2026-07-17,26.6,10.185840072930711,0.09503835968523267,0.18742779006423624,0.5794749227946503,0.6390891534070845,0.2899091778212448,14.96659594933951,0.7272727272727273,0.45348334801953283,-0.0807991965671696,1.3671124344542207,-0.14268907198503833,-0.3278211486765431,13.384615384615385,0.7505422993492408,11,94.36363636363636,7,27
UTILITIES,XLU,2000-01-21,2026-07-17,26.6,8.31419416157654,0.08752513244159688,0.14442304438004017,0.6540694309558284,0.7341543214655211,0.26892093743985684,152.67351034664676,0.8888888888888888,0.3690986277785485,-0.019340545819140798,1.1078747724364026,-0.019340545819140798,-0.32546789876177473,3.769230769230769,0.7527114967462039,9,115.66666666666667,5,27
INDUSTRIALS,XLI,2000-01-21,2026-07-17,26.6,5.180592778197862,0.07088361894786765,0.1551879905700706,0.5196200925892863,0.5787389390013451,0.177873171096097,9.216349495886318,0.8,0.32520185960993425,-0.14114128799264258,0.8668675692058836,-0.14312945732636484,-0.3985065229965028,5.230769230769231,0.735357917570499,10,101.7,9,27
MATERIALS,XLB,2000-01-21,2026-07-17,26.6,0.46930634287164175,0.014573063565965327,0.1773974090700034,0.17216054715734785,0.1815343634533936,0.0332343595612844,1.7340186344389303,0.6923076923076923,0.16249916496327105,-0.21085305192562886,0.34213083752293283,-0.2437118240322067,-0.43849388880482243,8.48076923076923,0.725234996384671,13,77.15384615384616,9,27
