entry_date,exit_date,entry_px,exit_px,return,weeks_held,open,asset
1994-02-18,1994-07-22,26.47702863530399,25.853569076642955,-0.02354718753560303,22,False,SPY
1994-10-07,2000-12-22,26.47640487329284,83.62208251018986,2.158362432904958,324,False,SPY
2003-07-04,2008-02-22,64.47704821697441,97.38187767119408,0.5103339927021822,242,False,SPY
2009-09-11,2010-10-08,76.09511432677822,86.5749080091546,0.13771966538314917,56,False,SPY
2010-11-05,2011-10-14,90.1326884505553,90.85146436092384,0.007974641861069554,49,False,SPY
2012-03-09,2015-11-13,106.51542570374538,175.4165194582403,0.646864933405342,192,False,SPY
2016-06-24,2019-02-08,177.87568326878585,241.6349237319565,0.35844832352281,137,False,SPY
2019-05-24,2020-06-12,255.23366598683737,293.60307791418927,0.15033052861189034,55,False,SPY
2020-09-04,2022-05-27,322.6423596573987,370.7694822124612,0.14916554232422174,90,False,SPY
2023-04-14,2026-07-17,390.277787817443,752.469970703125,0.9280368860118209,170,True,SPY
2000-03-31,2000-11-17,99.43094992991972,59.7876121610578,-0.39870219279613717,33,False,QQQ
2003-05-16,2004-09-10,23.89712561084485,28.9979779345089,0.21345045453287526,69,False,QQQ
2004-12-31,2006-07-28,34.024496902414654,30.64513820606351,-0.09932134209194776,82,False,QQQ
2006-12-22,2008-04-04,38.18670741056587,37.53070254788575,-0.01717887996016676,67,False,QQQ
2009-08-14,2011-11-04,34.364274467383694,51.41195541768754,0.4960873236676182,116,False,QQQ
2012-02-10,2016-04-08,54.60294965184397,102.70741823802236,0.880986629713215,217,False,QQQ
2016-07-22,2019-02-08,104.39000550107366,159.90868453607868,0.5318390277739184,133,False,QQQ
2019-05-24,2022-05-06,172.6442508745061,304.6990381703547,0.7648953650465795,154,False,QQQ
2023-05-05,2026-07-17,316.1289260550677,717.719970703125,1.2703394455529913,167,True,QQQ
1999-02-12,2000-06-02,52.41696257414641,59.4603651687812,0.1343725818654895,68,False,DIA
2000-09-22,2000-10-27,62.76549160893465,58.935313973313406,-0.06102362201646516,5,False,DIA
2000-12-01,2000-12-22,61.059074300520535,60.69548580854367,-0.00595470036423007,3,False,DIA
2000-12-29,2001-02-23,61.56799409001373,62.564943723065575,0.016192660615096388,8,False,DIA
2001-06-29,2001-07-06,61.81195864539498,60.77378751159024,-0.016795635610910797,1,False,DIA
2001-08-31,2001-10-05,60.74509454765938,51.182847327945325,-0.15741595746816572,5,False,DIA
2002-04-12,2002-08-09,59.51397209874536,48.98339139613593,-0.17694299895051757,17,False,DIA
2003-07-11,2004-11-19,55.23434561268312,65.39760054011465,0.18400245019102401,71,False,DIA
2004-12-31,2008-03-14,67.5060077943266,79.42673872276777,0.17658770408643565,167,False,DIA
2009-09-11,2011-11-04,66.38704103117013,88.9964454653624,0.3405695461494762,112,False,DIA
2012-02-17,2015-10-09,95.48313040256568,133.82110525335835,0.4015156885740574,190,False,DIA
2016-06-17,2020-05-08,146.13608936749927,210.58135153888844,0.4409948456286106,203,False,DIA
2020-10-02,2022-05-20,248.9621287314333,298.7017998956515,0.19978810198025987,85,False,DIA
2023-02-24,2025-08-08,316.1294172496025,431.4999492734197,0.3649471568560969,128,False,DIA
2025-08-22,2026-07-17,443.0652313235802,525.8400268554688,0.18682304473454914,47,True,DIA
2001-09-07,2001-10-12,33.844829425049234,29.54645758396785,-0.12700231953008667,5,False,IWM
2002-03-22,2002-08-30,36.21560837845392,29.19833500455647,-0.19376378550835838,23,False,IWM
2003-07-04,2007-12-07,33.132522255820525,59.406793788432,0.7930054744925361,231,False,IWM
2009-09-11,2011-10-07,45.887952527643336,52.232627204434856,0.13826449704787835,108,False,IWM
2012-03-30,2015-11-13,69.09215562859212,103.71083704696694,0.5010508226790469,189,False,IWM
2016-07-29,2019-01-04,106.00035482601542,121.8296416975763,0.1493323951371901,127,False,IWM
2019-08-16,2020-04-17,137.33526286321165,113.8692642483796,-0.17086652128233526,35,False,IWM
2020-10-23,2022-02-04,152.06084693949776,183.77039771119328,0.20853198841061404,67,False,IWM
2023-03-31,2023-08-11,167.3349406960131,187.89477611095245,0.12286636209642032,19,False,IWM
2023-08-18,2025-05-16,183.33880474731964,206.12326106911425,0.1242751437874623,91,False,IWM
2025-09-26,2026-07-17,240.4299142871118,295.0599975585937,0.22721832860716673,42,True,IWM
1986-10-24,1986-12-12,141.19500732421875,149.0449981689453,0.055596801852214384,7,False,NAS100
1987-02-27,1988-01-01,178.68499755859375,158.18499755859375,-0.11472703517416294,44,False,NAS100
1988-07-15,1990-04-27,188.4199981689453,208.5800018310547,0.1069950316209698,93,False,NAS100
1990-07-06,1990-09-28,238.4600067138672,183.1999969482422,-0.23173701337655572,12,False,NAS100
1991-03-29,1992-08-28,252.2700042724609,295.69000244140625,0.17211716586824233,74,False,NAS100
1992-12-18,1994-07-22,350.8949890136719,368.3500061035156,0.04974427574160556,83,False,NAS100
1994-12-09,2000-11-17,402.0400085449219,2798.949951171875,5.961869196306951,310,False,NAS100
2003-05-16,2004-09-10,1141.0799560546875,1382.47998046875,0.21155399596072932,69,False,NAS100
2004-12-31,2006-07-28,1621.3299560546875,1459.3900146484375,-0.09988092849422914,82,False,NAS100
2006-12-22,2008-04-04,1812.9300537109373,1772.9599609375,-0.022047233808950017,67,False,NAS100
2009-08-14,2011-10-28,1612.72998046875,2341.7099609375,0.45201613989768297,115,False,NAS100
2012-02-10,2016-02-26,2519.330078125,4203.60009765625,0.6685388445744118,211,False,NAS100
2016-03-11,2016-04-01,4303.81005859375,4415.0400390625,0.025844537503844744,3,False,NAS100
2016-07-29,2019-02-01,4662.89990234375,6691.83984375,0.4351240609703906,131,False,NAS100
2019-05-31,2022-05-06,7321.27001953125,12864.830078125,0.7571855762463302,153,False,NAS100
2023-05-05,2026-07-17,13229.1103515625,29471.015625,1.2277397982033733,167,True,NAS100
1929-01-18,1930-01-17,24.59000015258789,21.520000457763672,-0.12484748579804816,52,False,SP500
1932-12-16,1934-07-27,7.070000171661377,9.09000015258789,0.2857142760792655,83,False,SP500
1935-07-05,1937-07-30,10.279999732971191,17.059999465942383,0.6595330650861402,108,False,SP500
1938-10-07,1939-06-02,12.520000457763672,11.649999618530272,-0.06948888238210182,34,False,SP500
1939-11-24,1940-05-31,12.789999961853027,9.380000114440918,-0.26661453147636016,27,False,SP500
1942-10-30,1944-03-03,9.479999542236328,11.890000343322754,0.25421950606106325,70,False,SP500
1944-05-19,1946-10-18,11.989999771118164,14.710000038146973,0.22685573969574357,126,False,SP500
1947-09-26,1948-01-30,15.18000030517578,14.31999969482422,-0.056653530504761074,18,False,SP500
1948-07-02,1949-02-11,16.610000610351562,14.760000228881836,-0.11137870641117154,32,False,SP500
1949-11-11,1953-07-03,16.15999984741211,24.13999938964844,0.4938118575238888,190,False,SP500
1954-02-26,1957-01-18,25.82999992370605,45.86000061035156,0.7754549262798307,151,False,SP500
1957-08-09,1957-11-08,47.2599983215332,40.369998931884766,-0.14578924321521036,13,False,SP500
1958-07-18,1960-02-19,45.13999938964844,55.16999816894531,0.22219758340530604,83,False,SP500
1961-02-03,1962-06-08,61.970001220703125,59.119998931884766,-0.04599003118731937,70,False,SP500
1963-03-15,1966-07-08,65.33000183105469,85.61000061035156,0.31042397383887343,173,False,SP500
1967-03-31,1968-03-29,90.94000244140624,88.41999816894531,-0.02771062464051055,52,False,SP500
1968-06-28,1969-06-13,100.66000366210938,102.12000274658205,0.014504262183155925,50,False,SP500
1971-01-08,1971-12-10,92.1500015258789,97.05999755859376,0.05328264732948451,48,False,SP500
1972-03-10,1973-06-22,107.94000244140624,104.95999908447266,-0.027607960807220056,67,False,SP500
1975-05-16,1977-03-11,90.52999877929688,101.1999969482422,0.11786146374482698,95,False,SP500
1978-08-04,1979-03-23,100.0,100.69000244140624,0.006900024414062456,33,False,SP500
1979-04-27,1981-09-11,101.2300033569336,120.06999969482422,0.18611079436065436,124,False,SP500
1982-11-12,1984-03-23,142.1199951171875,159.27000427246094,0.12067273954753577,71,False,SP500
1984-11-16,1988-01-01,167.64999389648438,252.00999450683597,0.5031911940446581,163,False,SP500
1988-09-30,1990-06-15,269.7699890136719,358.7099914550781,0.3296882754326642,89,False,SP500
1990-06-22,1990-10-19,362.9100036621094,300.0299987792969,-0.1732661107390071,17,False,SP500
1991-04-05,1994-07-01,375.2200012207031,442.7799987792969,0.18005436101167538,169,False,SP500
1994-12-02,2000-12-15,452.260009765625,1369.8900146484375,2.02898771739371,315,False,SP500
2003-07-11,2008-02-08,985.7000122070312,1395.3800048828125,0.4156234022544927,239,False,SP500
2009-09-11,2010-09-24,1018.6699829101562,1126.5699462890625,0.10592239409141668,54,False,SP500
2010-11-19,2011-10-07,1200.43994140625,1131.2099609375,-0.05767050735387136,46,False,SP500
2012-03-16,2015-10-23,1370.780029296875,2031.72998046875,0.4821706889842139,188,False,SP500
2016-07-08,2019-01-25,2095.050048828125,2657.8798828125,0.2686474408089661,133,False,SP500
2019-05-31,2020-06-05,2830.030029296875,3038.780029296875,0.0737624681854927,53,False,SP500
2020-09-04,2022-05-27,3509.72998046875,3919.419921875,0.11672976088933562,90,False,SP500
2023-04-21,2026-07-17,4137.169921875,7547.52978515625,0.8243219223965659,169,True,SP500
2001-09-21,2004-09-17,289.79998779296875,404.1000061035156,0.39441001768503203,156,False,GOLD
2004-10-15,2008-10-31,422.2000122070313,742.7999877929688,0.7593556757850757,211,False,GOLD
2009-04-10,2012-06-22,895.0,1622.5999755859375,0.8129608665764665,167,False,GOLD
2012-11-16,2013-04-12,1733.199951171875,1575.800048828125,-0.09081462426613074,21,False,GOLD
2014-06-27,2014-08-29,1312.300048828125,1277.300048828125,-0.026670729785657432,9,False,GOLD
2016-04-22,2017-01-27,1238.699951171875,1212.0,-0.02155481732813136,40,False,GOLD
2017-08-18,2018-08-10,1288.4000244140625,1214.4000244140625,-0.05743557792437459,51,False,GOLD
2019-03-22,2021-04-16,1297.300048828125,1740.800048828125,0.3418638582497717,108,False,GOLD
2022-01-28,2022-09-09,1837.9000244140625,1709.699951171875,-0.0697535619670383,32,False,GOLD
2023-03-24,2026-07-17,1988.300048828125,4106.60009765625,1.065382485946535,173,True,GOLD
2002-02-22,2002-03-15,4.4670000076293945,4.525000095367432,0.012984125282958559,3,False,SILVER
2002-03-29,2002-12-13,4.550000190734863,4.599999904632568,0.010988947648731706,37,False,SILVER
2003-05-09,2003-06-13,4.800000190734863,4.511000156402588,-0.060208338093426295,5,False,SILVER
2003-08-08,2007-10-12,5.015999794006348,13.25,1.6415471579230356,218,False,SILVER
2007-11-30,2008-10-03,14.835000038146973,12.975000381469728,-0.1253791474145204,44,False,SILVER
2009-06-19,2012-01-06,14.664999961853027,28.165000915527344,0.9205592218745902,133,False,SILVER
2012-12-07,2013-04-19,33.5,24.5,-0.26865671641791045,19,False,SILVER
2016-05-20,2017-02-24,17.219999313354492,17.989999771118164,0.04471547552075217,40,False,SILVER
2019-05-17,2020-06-05,14.720000267028809,18.78499984741211,0.27615485778817916,55,False,SILVER
2020-08-14,2021-10-15,28.200000762939453,22.63999938964844,-0.19716316393147004,61,False,SILVER
2023-03-03,2023-12-22,20.75,23.83099937438965,0.14848189756094698,42,False,SILVER
2024-04-12,2026-07-17,27.80500030517578,59.709999084472656,1.147455437119988,118,True,SILVER
2002-06-21,2003-08-15,26.1200008392334,32.13999938964844,0.23047466910386682,60,False,OIL
2003-10-24,2003-11-21,30.670000076293945,32.369998931884766,0.05542872029220547,4,False,OIL
2004-02-13,2006-12-15,32.349998474121094,62.209999084472656,0.9230294287104388,148,False,OIL
2007-07-20,2008-11-28,74.01000213623047,50.970001220703125,-0.3113092859140516,71,False,OIL
2009-09-04,2010-09-24,72.75,73.58999633789062,0.011546341414304218,55,False,OIL
2010-11-12,2011-10-14,87.38999938964844,82.75,-0.053095313217247364,48,False,OIL
2012-03-09,2012-08-17,106.75,93.25,-0.12646370023419207,23,False,OIL
2013-04-26,2014-02-21,87.95999908447266,100.31999969482422,0.1405184258640293,43,False,OIL
2014-06-20,2014-10-17,106.87999725341795,85.19999694824219,-0.20284431944521264,17,False,OIL
2016-07-22,2017-07-28,46.119998931884766,45.619998931884766,-0.010841283859057693,53,False,OIL
2017-12-01,2018-12-21,58.95000076293945,51.25,-0.13061918003876039,55,False,OIL
2019-11-29,2019-12-20,57.91999816894531,59.869998931884766,0.03366714130845705,3,False,OIL
2020-01-03,2020-01-31,61.709999084472656,53.70000076293945,-0.12980065532927,4,False,OIL
2020-12-25,2022-11-18,48.540000915527344,89.0199966430664,0.8339512765561159,99,False,OIL
2023-10-20,2024-03-08,87.72000122070312,80.13999938964844,-0.08641132838089505,20,False,OIL
2024-05-24,2024-09-06,80.01000213623047,73.52999877929688,-0.08098991605949846,15,False,OIL
2026-03-27,2026-07-17,100.51000213623048,73.69000244140625,-0.26683911177787667,16,True,OIL
2004-12-24,2005-07-22,1.33109712600708,1.2038040161132812,-0.09563021916788494,30,False,EURUSD
2006-05-26,2008-11-07,1.276796817779541,1.2774981260299685,0.0005492716152339927,126,False,EURUSD
2009-08-14,2010-04-16,1.4137673377990725,1.3636983633041382,-0.035415285921713835,35,False,EURUSD
2011-01-07,2011-12-16,1.335594892501831,1.337095022201538,0.0011231921506504872,49,False,EURUSD
2013-01-11,2014-09-12,1.3068478107452393,1.295202612876892,-0.00891090590089938,87,False,EURUSD
2016-05-06,2016-12-02,1.1461974382400513,1.0611205101013184,-0.07422536929533341,30,False,EURUSD
2017-07-21,2018-08-10,1.1475127935409546,1.156136155128479,0.007514828275608787,55,False,EURUSD
2020-07-31,2021-08-20,1.1652567386627195,1.179634690284729,0.012338870177665662,55,False,EURUSD
2023-03-17,2023-12-22,1.0683646202087402,1.0895264148712158,0.01980765205266799,40,False,EURUSD
2024-03-22,2024-06-14,1.0882576704025269,1.077888250350952,-0.009528460339488731,12,False,EURUSD
2024-08-23,2025-01-03,1.1024993658065796,1.0429377555847168,-0.054024167332094586,19,False,EURUSD
2025-06-06,2026-07-10,1.1353315114974976,1.1435890197753906,0.007273213325156069,57,False,EURUSD
2004-12-24,2005-07-29,1.9418984651565552,1.736895203590393,-0.10556847602721331,31,False,GBPUSD
2006-06-09,2008-04-04,1.883487582206726,1.9933819770812988,0.058346227452064525,95,False,GBPUSD
2009-09-04,2010-04-09,1.6287705898284912,1.5269973278045654,-0.06248471249388321,31,False,GBPUSD
2010-11-26,2011-11-11,1.600256085395813,1.603617787361145,0.0021007274998117165,50,False,GBPUSD
2012-09-21,2012-10-19,1.6225864887237549,1.605909824371338,-0.010277827695665098,4,False,GBPUSD
2012-11-02,2013-03-29,1.608751654624939,1.5243902206420898,-0.052439065868446266,21,False,GBPUSD
2013-11-15,2014-11-21,1.6004096269607544,1.566784143447876,-0.02101054814118719,53,False,GBPUSD
2015-10-02,2016-01-01,1.5204963684082031,1.492537260055542,-0.018388145433014924,13,False,GBPUSD
2017-07-28,2018-08-24,1.3005423545837402,1.27459979057312,-0.019947496457294323,56,False,GBPUSD
2020-01-31,2020-06-12,1.306165099143982,1.2713911533355713,-0.026622932913458186,19,False,GBPUSD
2020-10-23,2021-11-26,1.292774677276611,1.343360185623169,0.03912940842337842,57,False,GBPUSD
2023-04-14,2024-02-09,1.243456244468689,1.2616863250732422,0.014660813909332715,43,False,GBPUSD
2024-02-16,2025-02-21,1.2638709545135498,1.2584631443023682,-0.004278767695285013,53,False,GBPUSD
2025-06-06,2026-07-10,1.3469464778900146,1.3350956439971924,-0.008798296062503153,57,False,GBPUSD
1997-11-21,1998-12-11,126.0199966430664,118.4499969482422,-0.06006982936418526,55,False,USDJPY
2000-08-25,2002-08-09,108.19000244140624,118.8499984741211,0.09853032435680098,102,False,USDJPY
2004-09-10,2004-12-10,110.5500030517578,102.04000091552734,-0.07697875984902691,13,False,USDJPY
2005-07-15,2006-08-18,112.1500015258789,116.1999969482422,0.03611230822345335,57,False,USDJPY
2006-11-10,2007-10-26,117.8949966430664,113.70999908447266,-0.03549766892367845,50,False,USDJPY
2012-04-27,2012-10-26,81.5999984741211,79.25,-0.02879900144687353,26,False,USDJPY
2012-12-21,2016-01-22,84.12300109863281,117.01000213623048,0.39093946492753173,161,False,USDJPY
2017-02-03,2017-10-20,114.68299865722656,111.8769989013672,-0.0244674432018136,37,False,USDJPY
2018-02-02,2018-03-09,108.64800262451172,105.55999755859376,-0.02842210617152463,5,False,USDJPY
2018-09-21,2019-05-03,111.95099639892578,111.60099792480467,-0.0031263542565884705,32,False,USDJPY
2020-03-13,2020-07-10,103.9729995727539,107.5790023803711,0.034682108070700934,17,False,USDJPY
2021-05-14,2023-04-14,108.5999984741211,132.0970001220703,0.21636281747783315,100,False,USDJPY
2023-08-18,2024-12-06,144.81700134277344,149.8159942626953,0.03451937875781286,68,False,USDJPY
2025-02-21,2025-04-25,152.0229949951172,140.87600708007812,-0.07332435409128135,9,False,USDJPY
2025-12-05,2026-07-10,155.88699340820312,161.48699951171875,0.03592349804868933,31,True,USDJPY
2000-01-14,2000-10-27,19.695999776036288,16.885595846176148,-0.14268907198503833,41,False,TECH
2003-06-06,2004-08-27,6.334634237065099,7.0323343704904735,0.11014055544722745,64,False,TECH
2005-01-28,2006-08-04,7.558431960087779,7.590951065889389,0.004302361385711606,79,False,TECH
2006-12-08,2008-03-21,9.019545222401034,8.284946643343595,-0.08144519052168864,67,False,TECH
2009-08-14,2010-10-01,7.868898279349934,9.424098186593222,0.19763883736107535,59,False,TECH
2010-10-29,2011-10-07,9.843039600119544,9.663272947311366,-0.018263327194781853,49,False,TECH
2012-02-10,2013-03-22,11.459267912472852,12.684986973736455,0.10696312108467843,58,False,TECH
2013-03-29,2019-02-01,12.828944576079971,30.36755422696293,1.3671124344542207,305,False,TECH
2019-05-24,2022-05-27,34.76229324124249,63.6620735692438,0.8313542529384741,157,False,TECH
2023-04-14,2025-05-23,72.19581074602613,114.91547029263324,0.5917193685501834,110,False,TECH
2025-08-08,2026-07-17,129.0676573024302,183.1000061035156,0.41863585293469185,49,True,TECH
2000-01-14,2000-01-21,5.481193472998533,5.3751841994904295,-0.019340545819140798,1,False,UTILITIES
2000-08-25,2001-09-28,5.712635300152788,6.170102356912319,0.08007986379723842,57,False,UTILITIES
2003-06-27,2008-05-23,5.103578583574527,10.757704545463454,1.1078747724364026,256,False,UTILITIES
2009-10-02,2015-07-31,8.220740083416166,14.88875137358636,0.8111205587951482,304,False,UTILITIES
2016-02-12,2017-02-17,16.669816360050017,18.3034156888158,0.09799744001264332,53,False,UTILITIES
2017-03-31,2018-04-06,19.47811746124518,19.55379091722056,0.0038850497809115314,53,False,UTILITIES
2018-09-21,2020-06-12,21.12397193078928,25.322685958384263,0.1987653667289313,90,False,UTILITIES
2020-11-27,2023-01-20,26.799811175949944,32.114564726948004,0.19831309691344012,112,False,UTILITIES
2024-05-03,2026-07-17,31.242420333120364,45.45000076293945,0.4547528737636728,115,True,UTILITIES
2000-01-14,2000-03-03,18.46027565002441,15.891470722020186,-0.13915311865892033,7,False,INDUSTRIALS
2000-07-21,2001-05-11,18.703339959488435,18.951441927792214,0.013265115687421059,42,False,INDUSTRIALS
2003-07-18,2005-11-11,14.846516109315685,20.313495635986328,0.368233158972582,121,False,INDUSTRIALS
2005-12-02,2008-03-21,21.27537084766106,24.572399817561617,0.15496928319174397,120,False,INDUSTRIALS
2009-09-18,2011-10-07,19.0686659050131,22.09888111838329,0.15891070872312874,107,False,INDUSTRIALS
2012-03-16,2015-09-18,28.43775097082682,42.504267185359694,0.4946423586366997,183,False,INDUSTRIALS
2016-05-27,2018-12-14,46.01895776064692,59.769973449512776,0.2988119757163432,133,False,INDUSTRIALS
2019-05-31,2020-04-24,65.74592095423334,56.33574296663184,-0.14312945732636484,47,False,INDUSTRIALS
2020-10-23,2022-04-22,74.93959000448619,93.36833730408028,0.24591470674567173,78,False,INDUSTRIALS
2023-02-10,2026-07-17,97.23239466293516,181.5200042724609,0.8668675692058836,179,True,INDUSTRIALS
2000-01-14,2000-02-18,7.68229104439016,6.100766572123376,-0.2058662530654395,5,False,MATERIALS
2001-03-30,2001-12-21,5.768192551672433,6.252727644025466,0.0840011993380052,38,False,MATERIALS
2002-03-08,2002-10-04,6.930914352935827,5.241768573770835,-0.2437118240322067,30,False,MATERIALS
2003-07-18,2005-09-02,6.362773773030028,8.539674892965744,0.34213083752293283,111,False,MATERIALS
2006-01-27,2008-10-03,9.63376384209739,11.704246195078367,0.21491935934047235,140,False,MATERIALS
2009-08-28,2010-09-10,10.661258292774034,11.547741490620838,0.08314995974233574,54,False,MATERIALS
2010-11-12,2011-10-07,13.044171163653782,10.728820597442786,-0.17750078078264409,47,False,MATERIALS
2012-05-04,2015-08-28,13.7621907887537,16.28812730970519,0.18354174562204562,173,False,MATERIALS
2016-06-24,2018-10-19,19.512020179508944,22.97721043294748,0.17759259274842254,121,False,MATERIALS
2019-06-28,2020-04-10,25.078213791580072,19.65295979448963,-0.21633334982222518,41,False,MATERIALS
2020-09-11,2022-07-08,28.369668316610717,33.34450145442883,0.1753574656671364,95,False,MATERIALS
2023-03-10,2025-03-21,39.40889968827738,41.720089901112665,0.05864640299822366,106,False,MATERIALS
2025-09-26,2026-07-17,44.58721160888672,50.970001220703125,0.14315292168986504,42,True,MATERIALS
